how much	Dünyanın nüfusu ne kadardır	What is the world population?	How much is the total population of the Earth?	How much is the population of the world?	Yaklaşık 7 Milyar	About 7 Billion	Yaklaşık 7 Milyar	About 7 Billion
how much	Türkiye'nin nüfusu ne kadardır		How much is the population of Turkey?		Yaklaşık 76 Milyon	Approximately 76 million	Yaklaşık 76 Milyon	Approximately 76 million
what	Türkiye'ye kuzeyden esen rüzgâra ne denir		What the winds blowing from North in Turkey are referred as?		Yıldız	star	Yıldız	star
								
which	Bakteriler ilk olarak hangi jeolojik zamanda ortaya çıkmıştır		In which geological era did bacteria first show up?		Prekambriyen	Precambrian 	İlkel Zaman/Prekambriyen/Antekambriyen	Primitive Time / Precambrian 
which is	Canlıların üzerinde yaşadığı katman hangisidir		Which layer is the one where all living creature live on?	Which layer is the one where all living creatures live?	Litosfer	Lithosphere	Litosfer /  Yer kabuğu	Lithosphere / Earth crust
								
what	Bir kültürün doğduğu yere ne denir		What the place where a culture was born is referred as?	What is the place where a culture is born called?	Kültür ocağı	-	Kültür ocağı	?????
how many	Dağ oluşumu hareketleri kaç şekilde gerçekleşir		In how many ways does mountain formation occurs?		2	2	2	2
how many	Yeryüzündeki kayaçlar kaç ana grupta sınıflandırılır		How many classes can rocks be fit into?	How many classes of rocks are there?	3	3	3	3
how many	Ekosfer kaç büyük ekosistemden oluşur	How many large ecosytems does the ecosphere have?	How many big ecosystems does the ecosphere consists of?		3	3	3	3
how much	Japonya'nın nüfusu ne kadardır		How much is the population of Japan?		127463611	127463611	127463611	127 463 611
what is	Kuzey Amerika'nın doğu kıyılarının batı kıyılarına göre daha soğuk olmasına sebep olan nedir	What causes the fact that the East cost in North America is cooler than the West cost?	What is the reason for east coast of America is colder than the west coast?		-	-	CEVAP YOK	-
what is	Lav nedir		What is lava?		-	-	CEVAP YOK	-
what	Gerçek ölçülerin küçültülerek çizilmesine ne denir		What drawing shapes downsizing is referred as?		-	-	CEVAP YOK	-
what	Geçtiği kıyılarda havanın soğumasına neden olan sulara ne denir	What is the current called that cools the coasts along which it flows?	What the currents that cause shores that they have passed to get cold are referred as?	What are the currents that cool the shores that they flow by referred as?	-	-	CEVAP YOK	-
what	Yüksek bulutlara ne denir		What the high clouds are referred as?	What are the high clouds  called?	-	-	CEVAP YOK	-
what	Eş sıcaklık eğrilerine ne denir		What the matching temperature lines are referred as?	What are the matching temperature lines called?	-	-	CEVAP YOK	-
what	Depremin aletle ölçülen büyüklüğüne ne denir		What the magnitude measured by an instrument of an earthquake is referred as?	What is the magnitude measured by an instrument of an earthquake called?	-	-	CEVAP YOK	-
how many	Çöl ikliminde günlük sıcaklık farkı kaç dereceyi bulur		How many degrees of temperature difference can be observered in desert climates?		-	-	CEVAP YOK	-
how many	Yeryüzünde kaç farklı sıcaklık kuşağı oluşmuştur	How many different temperature zones are there on the Earth?	How many temperature zones are there on the Earth?		-	-	CEVAP YOK	-
how many	Doğal çevreyi kaç temel unsur oluşturur		How many basic factors are there forming the natural environment?		-	-	CEVAP YOK	-
how many	İç çekirdeğin sıcaklığı kaç dereceyi bulur	How high does the temperature get in the inner core?	How many degrees does the inner core reach?		-	-	CEVAP YOK	-
how many	Yeryüzünde kaç tane etkin volkan vardır		How many active volcanos are there on the Earth?		-	-	CEVAP YOK	-
how many	Kaç çeşit deprem dalgası vardır		How many types of earthquake waves are there?		-	-	CEVAP YOK	-
called	Yer Yuvarlağını meydana getiren iç içe geçmiş kürelere ne isim verilir		What the nested spheres forming the Earth are called?	What are the nested spheres forming the Earth called?	-	-	CEVAP YOK	-
which is	Türkiye'nin en yüksek bölgesi hangisidir	Which geographical region is the highest in Turkey?	Which region of Turkey is the highest one?		-	-	CEVAP YOK	NO REPLY
how much	Dağ zirvelerinde nem miktarı ne kadardır		How much is the amount of moist on the climax of mountains?	How much is the amount of moisure on the summit of the mountains?	-	-	CEVAP YOK	-
how much	Muson ikliminde yıllık sıcaklık farkı ne kadardır	What is the yearly difference of temperature in the monsoon climate?	How much is the annual temperature difference in monsoon climate?		-	-	CEVAP YOK	-
how much	Ekvatoral iklimde yıllık yağış miktarı ne kadardır		How much is the annual precipitation amount in ecvatorial climates?		-	-	CEVAP YOK	-
how much	Yer kabuğunun ortalama kalınlığı denizlerde ne kadardır		How much is the thickness of the Earth's crust in the seas?		-	-	CEVAP YOK	-
